Date,Meal Time,Expected Diners,Actual Diners,Food Prepared (kg),Food Consumed (kg),Portion Size (g),Food Waste (kg),Special Event,Satisfaction Score,Waste Feedback,Surplus Food (kg),Food Distributed (kg),Weather,Suggestions
2024-01-26,Breakfast,108,104,48.32,47.35,193,0.97,Staff Meeting,5,Minimal Waste,0.25,0.11,Cloudy,Portion sizes seem optimal; continue as is.
2024-03-27,Breakfast,149,169,34.86,32.74,194,2.12,Sports Day,3,High Waste,4.56,4.39,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-29,Breakfast,128,123,39.56,39.44,245,0.12,Staff Meeting,4,High Waste,1.52,1.26,Windy,Reduce portion size by 10-20% for the next meal.
2024-08-15,Breakfast,138,139,37.43,27.28,230,10.15,No Event,2,High Waste,3.7,1.54,Rainy,Reduce portion size by 10-20% for the next meal.
2024-03-03,Dinner,198,186,33.48,27.77,334,5.71,Staff Meeting,3,Minimal Waste,4.57,2.11,Windy,Portion sizes seem optimal; continue as is.
2024-04-22,Breakfast,139,124,40.17,35.31,226,4.86,Sports Day,3,Minimal Waste,0.43,0.35,Cloudy,Increase portions slightly for high energy consumption.
2024-04-25,Lunch,200,198,49.88,48.37,253,1.51,Sports Day,4,Minimal Waste,3.93,3.84,Sunny,Increase portions slightly for high energy consumption.
2024-07-06,Dinner,183,201,48.11,33.5,321,14.61,Sports Day,5,Minimal Waste,3.57,3.1,Sunny,Increase portions slightly for high energy consumption.
2024-05-01,Lunch,200,191,34.88,33.66,225,1.22,Staff Meeting,4,Moderate Waste,4.6,1.54,Sunny,Portion sizes seem optimal; continue as is.
2024-08-14,Dinner,181,179,34.15,32.02,229,2.13,Sports Day,2,Minimal Waste,3.25,2.07,Cloudy,Consider changing the menu or improving food quality.
2024-05-22,Dinner,225,236,32.03,25.49,324,6.54,No Event,2,High Waste,4.31,1.86,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-01-23,Breakfast,149,135,38.43,35.55,209,2.88,Sports Day,4,Moderate Waste,4.45,0.71,Sunny,Increase portions slightly for high energy consumption.
2024-06-09,Breakfast,133,139,33.34,29.18,236,4.16,Staff Meeting,4,High Waste,4.66,3.27,Windy,Reduce portion size by 10-20% for the next meal.
2024-03-05,Dinner,196,216,37.54,25.68,340,11.86,Staff Meeting,5,Moderate Waste,2.48,0.1,Windy,Portion sizes seem optimal; continue as is.
2024-07-10,Lunch,160,174,38.62,29.37,243,9.25,Staff Meeting,2,Minimal Waste,2.58,1.73,Cloudy,Consider changing the menu or improving food quality.
2024-10-17,Breakfast,114,118,30.19,26.59,208,3.6,No Event,5,Minimal Waste,3.12,1.34,Rainy,Consider offering warm food options.
2024-11-02,Lunch,183,196,41.84,39.5,241,2.34,Staff Meeting,4,Minimal Waste,3.65,2.0,Cloudy,Portion sizes seem optimal; continue as is.
2024-09-15,Breakfast,107,94,33.55,28.61,226,4.94,Sports Day,5,Minimal Waste,0.58,0.27,Windy,Increase portions slightly for high energy consumption.
2024-06-05,Dinner,233,238,40.51,31.42,213,9.09,Staff Meeting,4,Minimal Waste,3.05,2.25,Windy,Portion sizes seem optimal; continue as is.
2024-02-20,Lunch,184,178,49.43,36.95,247,12.48,Holiday,3,Minimal Waste,2.26,1.44,Windy,Portion sizes seem optimal; continue as is.
2024-01-23,Dinner,249,240,46.49,41.68,263,4.81,Holiday,3,High Waste,3.38,0.12,Rainy,Reduce portion size by 10-20% for the next meal.
2024-11-05,Dinner,236,234,33.54,32.04,316,1.5,No Event,1,Minimal Waste,2.32,2.17,Sunny,Consider changing the menu or improving food quality.
2024-02-17,Breakfast,105,107,40.99,39.55,191,1.44,Holiday,1,Moderate Waste,0.21,0.14,Sunny,Consider changing the menu or improving food quality.
2024-10-15,Dinner,236,227,39.79,38.43,247,1.36,No Event,5,Minimal Waste,2.17,1.48,Sunny,Portion sizes seem optimal; continue as is.
2024-06-17,Lunch,192,207,31.86,30.69,275,1.17,Holiday,5,Moderate Waste,2.1,0.18,Cloudy,Portion sizes seem optimal; continue as is.
2024-08-12,Lunch,178,183,47.03,45.1,255,1.93,No Event,3,High Waste,3.52,3.17,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-05-25,Breakfast,143,130,46.68,31.32,217,15.36,Holiday,4,Minimal Waste,2.33,0.21,Windy,Portion sizes seem optimal; continue as is.
2024-08-01,Dinner,193,199,38.28,34.42,329,3.86,Holiday,3,Minimal Waste,1.26,0.24,Sunny,Portion sizes seem optimal; continue as is.
2024-11-01,Breakfast,126,118,36.57,26.79,182,9.78,Holiday,3,Minimal Waste,0.29,0.15,Sunny,Portion sizes seem optimal; continue as is.
2024-06-24,Breakfast,128,125,40.73,32.63,229,8.1,Staff Meeting,1,Moderate Waste,0.87,0.19,Windy,Consider changing the menu or improving food quality.
2024-08-24,Dinner,187,178,36.72,31.52,349,5.2,No Event,1,Minimal Waste,4.57,0.42,Windy,Consider changing the menu or improving food quality.
2024-01-03,Dinner,181,168,33.83,25.42,214,8.41,Holiday,1,Minimal Waste,2.29,1.74,Windy,Consider changing the menu or improving food quality.
2024-05-25,Breakfast,109,113,49.67,33.14,188,16.53,Staff Meeting,4,High Waste,3.23,3.19,Sunny,Reduce portion size by 10-20% for the next meal.
2024-06-24,Breakfast,143,127,41.47,37.57,193,3.9,Sports Day,4,Minimal Waste,0.95,0.29,Cloudy,Increase portions slightly for high energy consumption.
2024-09-02,Dinner,213,227,49.45,33.61,295,15.84,Sports Day,3,High Waste,2.61,0.89,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-08-30,Lunch,186,169,39.09,28.87,245,10.22,Sports Day,1,High Waste,0.34,0.12,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-03-28,Lunch,168,165,43.65,26.77,241,16.88,Staff Meeting,4,High Waste,1.1,0.75,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-10-14,Dinner,188,183,31.44,29.69,263,1.75,Sports Day,2,Minimal Waste,1.72,0.19,Cloudy,Consider changing the menu or improving food quality.
2024-10-10,Dinner,239,258,35.46,32.57,258,2.89,Staff Meeting,1,Minimal Waste,2.1,0.3,Rainy,Consider changing the menu or improving food quality.
2024-04-18,Lunch,200,210,31.89,27.83,286,4.06,No Event,1,Moderate Waste,2.52,0.86,Cloudy,Consider changing the menu or improving food quality.
2024-04-17,Breakfast,104,103,45.47,37.6,211,7.87,Sports Day,1,High Waste,3.9,1.1,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-09-06,Dinner,245,244,30.21,28.52,320,1.69,Holiday,5,Minimal Waste,1.12,0.27,Windy,Portion sizes seem optimal; continue as is.
2024-07-04,Breakfast,116,123,41.17,29.07,239,12.1,Holiday,4,High Waste,0.18,0.17,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-03-04,Breakfast,135,116,42.43,27.1,221,15.33,Sports Day,5,Minimal Waste,1.59,0.41,Cloudy,Increase portions slightly for high energy consumption.
2024-04-27,Lunch,190,185,34.23,30.51,266,3.72,Holiday,5,Minimal Waste,1.32,0.91,Windy,Portion sizes seem optimal; continue as is.
2024-09-25,Breakfast,121,132,44.6,32.15,216,12.45,No Event,3,Moderate Waste,0.28,0.16,Rainy,Consider offering warm food options.
2024-07-24,Dinner,215,200,35.04,34.7,292,0.34,Holiday,2,High Waste,4.74,1.79,Windy,Reduce portion size by 10-20% for the next meal.
2024-07-24,Lunch,177,170,42.58,25.99,240,16.59,No Event,4,Moderate Waste,2.09,0.85,Windy,Portion sizes seem optimal; continue as is.
2024-02-17,Lunch,191,176,49.74,40.06,235,9.68,No Event,4,Moderate Waste,3.48,0.24,Rainy,Consider offering warm food options.
2024-07-29,Lunch,200,203,49.33,30.29,267,19.04,Sports Day,4,High Waste,4.6,0.16,Sunny,Reduce portion size by 10-20% for the next meal.
2024-08-16,Lunch,152,162,43.33,41.12,246,2.21,Holiday,1,Minimal Waste,3.66,3.13,Windy,Consider changing the menu or improving food quality.
2024-06-29,Breakfast,123,136,41.03,30.85,211,10.18,Sports Day,1,High Waste,1.5,0.8,Windy,Reduce portion size by 10-20% for the next meal.
2024-09-11,Dinner,202,192,44.94,27.33,267,17.61,Sports Day,5,High Waste,3.2,1.67,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-04-04,Breakfast,124,117,36.49,26.15,235,10.34,No Event,5,High Waste,0.51,0.18,Rainy,Reduce portion size by 10-20% for the next meal.
2024-07-04,Lunch,183,165,36.37,33.33,258,3.04,Holiday,1,Minimal Waste,2.96,2.93,Sunny,Consider changing the menu or improving food quality.
2024-04-15,Breakfast,114,95,49.97,39.67,236,10.3,Sports Day,1,High Waste,1.68,1.15,Windy,Reduce portion size by 10-20% for the next meal.
2024-09-03,Dinner,219,229,38.75,33.87,274,4.88,Holiday,4,High Waste,0.75,0.58,Windy,Reduce portion size by 10-20% for the next meal.
2024-06-18,Dinner,208,212,41.33,30.43,334,10.9,Holiday,1,Minimal Waste,2.8,0.93,Rainy,Consider changing the menu or improving food quality.
2024-01-17,Dinner,208,206,43.56,33.15,302,10.41,Staff Meeting,1,Moderate Waste,4.56,2.43,Rainy,Consider changing the menu or improving food quality.
2024-03-14,Breakfast,136,126,34.24,26.33,212,7.91,Sports Day,2,Minimal Waste,1.96,1.76,Sunny,Consider changing the menu or improving food quality.
2024-07-09,Breakfast,114,130,40.09,28.16,180,11.93,Sports Day,1,Minimal Waste,0.61,0.59,Rainy,Consider changing the menu or improving food quality.
2024-05-17,Lunch,163,171,36.17,32.65,228,3.52,Sports Day,1,High Waste,0.99,0.34,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-08-07,Lunch,200,208,44.21,27.12,271,17.09,Holiday,5,Moderate Waste,1.02,0.95,Rainy,Consider offering warm food options.
2024-05-25,Dinner,240,224,36.23,31.14,244,5.09,No Event,2,Minimal Waste,1.5,1.08,Rainy,Consider changing the menu or improving food quality.
2024-09-09,Dinner,212,194,35.99,26.68,224,9.31,No Event,1,Minimal Waste,1.24,0.47,Windy,Consider changing the menu or improving food quality.
2024-10-11,Dinner,196,212,47.56,30.88,339,16.68,Staff Meeting,4,Minimal Waste,3.95,2.8,Sunny,Portion sizes seem optimal; continue as is.
2024-03-09,Dinner,185,175,34.23,29.36,220,4.87,No Event,5,Minimal Waste,0.91,0.23,Rainy,Consider offering warm food options.
2024-10-20,Breakfast,113,119,44.47,35.67,190,8.8,Holiday,2,High Waste,4.89,3.32,Sunny,Reduce portion size by 10-20% for the next meal.
2024-10-14,Breakfast,136,126,38.79,31.91,224,6.88,No Event,2,Minimal Waste,3.76,0.31,Windy,Consider changing the menu or improving food quality.
2024-02-23,Lunch,168,151,46.65,30.69,259,15.96,Sports Day,5,Moderate Waste,4.31,1.84,Cloudy,Increase portions slightly for high energy consumption.
2024-01-11,Breakfast,105,122,37.81,29.83,237,7.98,Staff Meeting,5,Moderate Waste,0.31,0.19,Rainy,Consider offering warm food options.
2024-05-10,Dinner,186,192,46.82,38.12,350,8.7,Holiday,4,Moderate Waste,2.59,1.72,Rainy,Consider offering warm food options.
2024-04-15,Breakfast,132,149,33.29,28.33,235,4.96,Staff Meeting,1,High Waste,4.37,1.35,Rainy,Reduce portion size by 10-20% for the next meal.
2024-05-21,Dinner,239,242,38.72,26.9,226,11.82,Holiday,5,High Waste,1.95,0.23,Windy,Reduce portion size by 10-20% for the next meal.
2024-05-28,Dinner,187,206,48.23,43.74,280,4.49,Holiday,5,Minimal Waste,1.91,0.44,Windy,Portion sizes seem optimal; continue as is.
2024-10-29,Lunch,196,188,38.99,36.84,240,2.15,Staff Meeting,2,Minimal Waste,4.1,0.28,Cloudy,Consider changing the menu or improving food quality.
2024-05-02,Dinner,247,267,48.21,35.05,250,13.16,Staff Meeting,1,Minimal Waste,1.38,0.18,Windy,Consider changing the menu or improving food quality.
2024-05-30,Lunch,165,173,44.91,38.95,273,5.96,Holiday,2,Moderate Waste,4.26,2.69,Rainy,Consider changing the menu or improving food quality.
2024-01-28,Lunch,180,193,44.33,33.57,290,10.76,Holiday,4,Moderate Waste,1.48,0.31,Rainy,Consider offering warm food options.
2024-06-16,Dinner,249,241,41.76,39.37,234,2.39,Sports Day,5,High Waste,4.24,0.79,Rainy,Reduce portion size by 10-20% for the next meal.
2024-06-02,Lunch,154,134,33.81,33.07,288,0.74,Staff Meeting,5,Minimal Waste,4.69,2.54,Rainy,Consider offering warm food options.
2024-10-03,Dinner,248,251,31.8,30.75,332,1.05,Sports Day,2,Minimal Waste,0.64,0.38,Windy,Consider changing the menu or improving food quality.
2024-06-25,Dinner,198,194,43.16,39.34,216,3.82,Sports Day,5,Minimal Waste,4.98,3.13,Cloudy,Increase portions slightly for high energy consumption.
2024-06-01,Dinner,209,204,38.18,36.14,279,2.04,No Event,4,Moderate Waste,2.01,1.57,Cloudy,Portion sizes seem optimal; continue as is.
2024-05-13,Breakfast,146,162,35.56,27.28,233,8.28,Sports Day,4,Moderate Waste,0.9,0.6,Rainy,Increase portions slightly for high energy consumption.
2024-09-09,Lunch,175,184,36.31,25.85,220,10.46,Sports Day,5,Moderate Waste,0.8,0.76,Rainy,Increase portions slightly for high energy consumption.
2024-10-10,Breakfast,115,129,39.15,32.56,196,6.59,No Event,5,Minimal Waste,4.92,0.23,Cloudy,Portion sizes seem optimal; continue as is.
2024-04-16,Breakfast,137,154,46.34,44.58,184,1.76,No Event,3,High Waste,4.77,4.39,Windy,Reduce portion size by 10-20% for the next meal.
2024-03-26,Dinner,213,223,43.19,34.55,259,8.64,Sports Day,2,High Waste,2.41,1.31,Rainy,Reduce portion size by 10-20% for the next meal.
2024-04-17,Lunch,198,194,43.78,35.15,288,8.63,Sports Day,5,Minimal Waste,1.31,0.78,Cloudy,Increase portions slightly for high energy consumption.
2024-05-28,Breakfast,130,142,34.76,30.67,236,4.09,Sports Day,3,Minimal Waste,0.33,0.11,Rainy,Increase portions slightly for high energy consumption.
2024-04-29,Dinner,187,202,44.99,31.45,297,13.54,Staff Meeting,5,High Waste,3.95,1.56,Sunny,Reduce portion size by 10-20% for the next meal.
2024-05-28,Lunch,189,190,42.39,32.95,233,9.44,No Event,2,Minimal Waste,0.97,0.55,Sunny,Consider changing the menu or improving food quality.
2024-08-11,Breakfast,101,106,33.31,27.14,222,6.17,No Event,1,Moderate Waste,4.67,0.33,Cloudy,Consider changing the menu or improving food quality.
2024-07-26,Lunch,178,177,33.22,27.34,253,5.88,Sports Day,2,Minimal Waste,0.64,0.41,Sunny,Consider changing the menu or improving food quality.
2024-01-02,Breakfast,127,144,39.1,37.46,187,1.64,Staff Meeting,2,Moderate Waste,1.4,1.08,Cloudy,Consider changing the menu or improving food quality.
2024-10-11,Lunch,195,211,30.69,27.46,220,3.23,Holiday,4,High Waste,2.6,0.82,Windy,Reduce portion size by 10-20% for the next meal.
